0000: ACCESSORIES_CONNECTED_BITMASK
0342: HW_E21_EXT_2
0343: HW_E21_EXT_2_INV
0344: HW_E22_EXT_1
0345: HW_E22_EXT_1_INV
0346: HW_E22_EXT_2
0347: HW_E22_EXT_2_INV
0348: HW_E31_T31_TEMP
034A: HW_E31_T32_TEMP
034C: HW_E71_EXT
034D: HW_E71_T71_TEMP
034F: HW_E71_T72_TEMP
0351: HW_E72_EXT
0352: HW_E72_T71_TEMP
0354: HW_E72_T72_TEMP
0356: HW_ELK
0357: HW_ELK_2
0358: HW_ELK_3
0359: HW_ELK_4
035A: HW_EL_VVB_ALARM
035B: HW_EXTERNAL_SETPOINT
035D: HW_EXTERNAL_SETPOINT_2
035F: HW_FAN_ANALOG
0360: HW_FAN_ANALOG_2
0361: HW_FAN_DIGITAL
0362: HW_FAN_DIGITAL_2
0363: HW_GT1
0365: HW_GT10
0367: HW_GT10_2
0369: HW_GT10_TEMP
036B: HW_GT10_TEMP_2
036D: HW_GT11
036F: HW_GT11_2
0371: HW_GT11_TEMP
0373: HW_GT11_TEMP_2
0375: HW_GT12
0377: HW_GT12_2
0379: HW_GT12_TEMP
037B: HW_GT12_TEMP_2
037D: HW_GT1_TEMP
037F: HW_GT2
0381: HW_GT2_TEMP
0383: HW_GT3
0385: HW_GT3_TEMP
0387: HW_GT41_GLOBAL
0389: HW_GT41_TEMP_1
038B: HW_GT41_TEMP_2
038D: HW_GT41_TEMP_3
038F: HW_GT41_TEMP_4
0391: HW_GT41_TEMP_5
0393: HW_GT41_TEMP_6
0395: HW_GT41_TEMP_7
0397: HW_GT41_TEMP_GLOBAL
0399: HW_GT45_GLOBAL
039B: HW_GT45_TEMP_GLOBAL
039D: HW_GT5
039F: HW_GT5_TEMP
03A1: HW_GT6
03A3: HW_GT6_2
03A5: HW_GT6_TEMP
03A7: HW_GT6_TEMP_2
03A9: HW_GT8
03AB: HW_GT81
03AD: HW_GT81_TEMP
03AF: HW_GT82
03B1: HW_GT82_TEMP
03B3: HW_GT8_2
03B5: HW_GT8_TEMP
03B7: HW_GT8_TEMP_2
03B9: HW_GT9
03BB: HW_GT9_2
03BD: HW_GT9_TEMP
03BF: HW_GT9_TEMP_2
03C1: HW_HEATING_CABLE
03C2: HW_HEATING_CABLE_2
03C3: HW_HP
03C4: HW_HP_2
03C5: HW_IOB91119_DO10
03C6: HW_IOB91119_DO12
03C7: HW_LP
03C8: HW_LP_2
03C9: HW_MB1
03CA: HW_MB1_2
03CB: HW_MB2
03CC: HW_MB2_2
03CD: HW_PGU_L1
03CF: HW_PGU_L2
03D1: HW_PGU_L3
03D3: HW_PHASE_DETECTOR
03D4: HW_PHASE_DETECTOR_2
03D5: HW_POOL_EXT_1
03D6: HW_POOL_VALVE
03D7: HW_POOL_VALVE_CLOSE
03D8: HW_POOL_VALVE_OPEN
03D9: HW_PROTECTIVE_ANODE
03DA: HW_PUMP_DHW_DIGITAL
03DB: HW_PUMP_E71_G71_DIGITAL
03DC: HW_PUMP_E72_G71_DIGITAL
03DD: HW_PUMP_G1_DIGITAL
03DE: HW_PUMP_G2_ANALOG
03DF: HW_PUMP_G2_DIGITAL
03E0: HW_PUMP_G2_DIGITAL_2
03E1: HW_PUMP_G3_ANALOG
03E2: HW_PUMP_G3_DIGITAL
03E3: HW_PUMP_G3_DIGITAL_2
03E4: HW_ROOM_BUZZER_INTERVALL
03E5: HW_ROOM_BUZZER_MODE
03E6: HW_ROOM_BUZZER_OFF_TIME
03E8: HW_ROOM_BUZZER_ON_TIME
03EA: HW_ROOM_GT5
03EC: HW_ROOM_GT5_GLOBAL
03EE: HW_ROOM_LED_MODE
03EF: HW_ROOM_POT
03F1: HW_ROOM_POT_GLOBAL
03F3: HW_ROOM_TEMP
03F5: HW_ROOM_TEMP_GLOBAL
03F7: HW_SUMMARY_ALARM
03F8: VXV_2
03FB: ICONS_IOB6126_EXTERN_BITMASK
03FC: IOB6126_BOOT_COUNT
03FD: IOB6126_CONNECTED_BITMASK
03FE: IOB6126_EXTERN_HEAT_CONNECTED
03FF: IOB6126_EXTERN_HEAT_CONNECTED_2
0400: IOB6126_EXTERN_HEAT_CONNECTED_3
0401: IOB6126_EXTERN_HEAT_CONNECTED_4
0402: IOB6126_EXTERN_HEAT_CONNECTED_5
0403: IOB6126_EXTERN_HEAT_CONNECTED_6
0404: IOB6126_EXTERN_HEAT_CONNECTED_7
0405: IOB6126_EXTERN_HEAT_VERSION
0407: IOB6126_EXTERN_HEAT_VERSION_2
0409: IOB6126_EXTERN_HEAT_VERSION_3
040B: IOB6126_EXTERN_HEAT_VERSION_4
040D: IOB6126_EXTERN_HEAT_VERSION_5
040F: IOB6126_EXTERN_HEAT_VERSION_6
0411: IOB6126_EXTERN_HEAT_VERSION_7
0413: IOB6126_EXTERN_HEAT_VERSION_GLOBAL
0415: IOB6126_LIGHT_COMBO_CONNECTED
0416: IOB6126_LIGHT_COMBO_VERSION
0418: IOB6126_MAIN_COOLING_CONNECTED
0419: IOB6126_MAIN_COOLING_VERSION
041B: IOB6126_POOL_CONNECTED
041C: IOB6126_POOL_VERSION
041E: IOB6126_SOLAR_CONNECTED
041F: IOB6126_SOLAR_VERSION
0421: IOB6126_SUB_COOLING_CONNECTED
0422: IOB6126_SUB_COOLING_VERSION
0424: IOB6126_WOOD_HEATING_CONNECTED
0425: IOB6126_WOOD_HEATING_CONNECTED_2
0426: IOB6126_WOOD_HEATING_VERSION
0428: IOB6126_WOOD_HEATING_VERSION_2
042A: IOB91119_AW_COMP_CONNECTED
042B: IOB91119_AW_COMP_CONNECTED_2
042C: IOB91119_AW_COMP_VERSION
042E: IOB91119_AW_COMP_VERSION_2
0430: IOB91119_AW_HEAT_CONNECTED
0431: IOB91119_AW_HEAT_CONNECTED_2
0432: IOB91119_BOOT_COUNT
0435: IOB91119_CONNECTED_BITMASK
0436: IOB91119_LW_CONNECTED
0437: IOB91119_LW_CONNECTED_2
0438: IOB91119_LW_LIGHT_CONNECTED
0439: IOB91119_LW_LIGHT_CONNECTED_2
043A: IOB91119_LW_LIGHT_DACH_CONNECTED
043B: IOB91119_LW_LIGHT_DACH_CONNECTED_2
043C: IOB91119_LW_LIGHT_DACH_VERSION
043E: IOB91119_LW_LIGHT_DACH_VERSION_2
0440: IOB91119_LW_LIGHT_VERSION
0442: IOB91119_LW_LIGHT_VERSION_2
0444: IOB91119_LW_VERSION
0446: IOB91119_LW_VERSION_2
0448: IOB91119_REBOOT
0449: IOBX10_CONNECTED
044A: IOBX10_VERSION
044C: LANGUAGE
0450: LANGUAGE_ISO639_1
0452: LP_2_ALARM_DELAY
0454: LP_ALARM_DELAY
0456: LP_STOPS_UNTIL_ALARM
0457: LP_STOPS_UNTIL_ALARM_2
0458: LP_STOP_MAX_TIME
0459: LP_STOP_MAX_TIME_2
045A: LP_STOP_TIME_WINDOW
045B: LP_STOP_TIME_WINDOW_2
045C: MAN_OP
045D: MAN_OP_MIXING_VALVE_CLOSE_GLOBAL
045E: MAN_OP_MIXING_VALVE_D_VALVE_GLOBAL
045F: MAN_OP_MIXING_VALVE_G2_GLOBAL
0460: MAN_OP_MIXING_VALVE_G4_GLOBAL
0461: MAN_OP_MIXING_VALVE_OPEN_GLOBAL
0462: MAN_OP_MIXING_VALVE_SIGNAL_GLOBAL
0463: MAN_OP_TILLSKOTT
0464: MAN_OP_TIME
0465: MIXING_VALVE_CLOSE_TIME_GLOBAL
0466: MIXING_VALVE_DEFROST_DELAY_TIME_GLOBAL
0468: MIXING_VALVE_EXT_INPUT_1
0469: MIXING_VALVE_EXT_INPUT_2
046A: MIXING_VALVE_EXT_INPUT_3
046B: MIXING_VALVE_EXT_INPUT_4
046C: MIXING_VALVE_EXT_INPUT_5
046D: MIXING_VALVE_EXT_INPUT_6
046E: MIXING_VALVE_EXT_INPUT_7
046F: MIXING_VALVE_EXT_INPUT_GLOBAL
0470: MIXING_VALVE_EXT_INPUT_PRI_COOLING
0471: MIXING_VALVE_EXT_INPUT_SEC_COOLING
0472: MIXING_VALVE_MAX_LIMIT_HEATING_SYSTEM
0473: MIXING_VALVE_MODE_1
0474: MIXING_VALVE_MODE_2
0475: MIXING_VALVE_MODE_3
0476: MIXING_VALVE_MODE_4
0477: MIXING_VALVE_MODE_5
0478: MIXING_VALVE_MODE_6
0479: MIXING_VALVE_MODE_7
047A: MIXING_VALVE_MODE_GLOBAL
047B: MIXING_VALVE_NEUTRALZONE_GLOBAL
047C: MIXING_VALVE_NEUTRALZONE_LIMITATION_GLOBAL
047D: MIXING_VALVE_NEUTRALZONE_LIMITATION_TIME_GLOBAL
047F: MIXING_VALVE_NZ_CLOSE_1
0481: MIXING_VALVE_NZ_CLOSE_2
0483: MIXING_VALVE_NZ_CLOSE_3
0485: MIXING_VALVE_NZ_CLOSE_4
0487: MIXING_VALVE_NZ_CLOSE_5
0489: MIXING_VALVE_NZ_CLOSE_6
048B: MIXING_VALVE_NZ_CLOSE_7
048D: MIXING_VALVE_NZ_OPEN_1
048F: MIXING_VALVE_NZ_OPEN_2
0491: MIXING_VALVE_NZ_OPEN_3
0493: MIXING_VALVE_NZ_OPEN_4
0495: MIXING_VALVE_NZ_OPEN_5
0497: MIXING_VALVE_NZ_OPEN_6
0499: MIXING_VALVE_NZ_OPEN_7
049B: MIXING_VALVE_OPEN_TIME_GLOBAL
049C: MIXING_VALVE_PID_D
049E: MIXING_VALVE_PID_I
04A0: MIXING_VALVE_PID_MAX
04A1: MIXING_VALVE_PID_MIN
04A2: MIXING_VALVE_PID_P
04A4: MIXING_VALVE_PUMP_G41_1
04A5: MIXING_VALVE_PUMP_G41_2
04A6: MIXING_VALVE_PUMP_G41_3
04A7: MIXING_VALVE_PUMP_G41_4
04A8: MIXING_VALVE_PUMP_G41_5
04A9: MIXING_VALVE_PUMP_G41_6
04AA: MIXING_VALVE_PUMP_G41_7
04AB: MIXING_VALVE_PUMP_G41_GLOBAL
04AC: MIXING_VALVE_PUMP_G71
04AD: MIXING_VALVE_RUNNING_TIME_GLOBAL
04AF: MIXING_VALVE_START_LIMIT_HEATING_SYSTEM
04B0: MIXING_VALVE_TIMECONTROLLED_GLOBAL
04B1: MIXING_VALVE_USE_NEUTRALZONE_REGULATOR
04B2: MIXING_VALVE_VALVECLOSE_1
04B3: MIXING_VALVE_VALVECLOSE_2
04B4: MIXING_VALVE_VALVECLOSE_3
04B5: MIXING_VALVE_VALVECLOSE_4
04B6: MIXING_VALVE_VALVECLOSE_5
04B7: MIXING_VALVE_VALVECLOSE_6
04B8: MIXING_VALVE_VALVECLOSE_7
04B9: MIXING_VALVE_VALVECLOSE_GLOBAL
04BA: MIXING_VALVE_VALVEOPEN_1
04BB: MIXING_VALVE_VALVEOPEN_2
04BC: MIXING_VALVE_VALVEOPEN_3
04BD: MIXING_VALVE_VALVEOPEN_4
04BE: MIXING_VALVE_VALVEOPEN_5
04BF: MIXING_VALVE_VALVEOPEN_6
04C0: MIXING_VALVE_VALVEOPEN_7
04C1: MIXING_VALVE_VALVEOPEN_GLOBAL
04C2: MV_CONDENSATIONGUARD_ACTIVE_BITMASK
04C4: MV_CONDENSATIONGUARD_ACTIVE_GLOBAL
04C5: MV_COOLING_10V_RELATIVE_HUMIDITY_1
04C6: MV_COOLING_10V_RELATIVE_HUMIDITY_2
04C7: MV_COOLING_10V_RELATIVE_HUMIDITY_3
04C8: MV_COOLING_10V_RELATIVE_HUMIDITY_4
04C9: MV_COOLING_10V_RELATIVE_HUMIDITY_5
04CA: MV_COOLING_10V_RELATIVE_HUMIDITY_6
04CB: MV_COOLING_10V_RELATIVE_HUMIDITY_7
04CC: MV_COOLING_10V_RELATIVE_HUMIDITY_GLOBAL
04CD: MV_COOLING_10V_RELATIVE_HUMIDITY_PRI_COOLING
04CE: MV_COOLING_10V_RELATIVE_HUMIDITY_SEC_COOLING
04CF: MV_COOLING_ACTIVE
04D0: MV_COOLING_DELAY_HEATING_GLOBAL
04D1: MV_COOLING_DEWPOINT_SENSOR_1
04D3: MV_COOLING_DEWPOINT_SENSOR_2
04D5: MV_COOLING_DEWPOINT_SENSOR_3
04D7: MV_COOLING_DEWPOINT_SENSOR_4
04D9: MV_COOLING_DEWPOINT_SENSOR_5
04DB: MV_COOLING_DEWPOINT_SENSOR_6
04DD: MV_COOLING_DEWPOINT_SENSOR_7
04DF: MV_COOLING_DEWPOINT_SENSOR_GLOBAL
04E1: MV_COOLING_DEWPOINT_SENSOR_PRI_COOLING
04E3: MV_COOLING_DEWPOINT_SENSOR_SEC_COOLING
04E5: MV_COOLING_DEW_POINT_SENSOR_SETPOINT_MIN_GLOBAL
04E7: MV_COOLING_E31_G2
04E8: MV_COOLING_FLOWSENSOR_TYPE_GLOBAL
04E9: MV_COOLING_FREEZEGUARD_ACTIVE_GLOBAL
04EA: MV_COOLING_FREEZEGUARD_START
04EB: MV_COOLING_GT45_INFLUENCE_GLOBAL
04EC: MV_COOLING_INCREASE_ROOM_SETPOINT_GLOBAL
04ED: MV_COOLING_MAIN_FLOWSENSOR_TYPE
04EE: MV_COOLING_OUTDOOR_TEMPERATURE_LIMIT_GLOBAL
04EF: MV_COOLING_ROOMSENSOR_TYPE_GLOBAL
04F0: MV_COOLING_SETPOINT_MIN_GLOBAL
04F2: MV_COOLING_SUB_FLOWSENSOR_TYPE
04F3: MV_COOLING_T5_10V_GLOBAL
04F5: MV_COOLING_T5_10V_PRI_COOLING
04F7: MV_COOLING_T5_10V_SEC_COOLING
04F9: MV_COOLING_UNDER_SWING_ZONE_GLOBAL
04FA: MV_COOLING_WHEN_HEATING_SEASONG_GLOBAL
04FB: MV_DEW_POINT_SENSOR_ACTIVATED_GLOBAL
04FC: MV_DEW_POINT_SENSOR_ALARM_BITMASK
04FE: MV_DEW_POINT_SENSOR_ALARM_GLOBAL
04FF: MV_DISABLE_COOLING_GLOBAL
0500: MV_DOWNLOADING_VARIABLES
0501: MV_DOWNLOADING_VARIABLES_FOR_MIXING_VALVE
0502: MV_E11_T11_SETPOINT
0504: MV_E31_Q2_PRI_COOLING
0505: MV_E31_Q2_SEC_COOLING
0506: MV_E31_T2_SENSOR_ALARM_GLOBAL
0507: MV_E31_T31_SETPOINT
0509: MV_E31_T32_ACKNOWLEDGED
050A: MV_ENABLE_CONDENSATIONGUARD_BY_EXT_GLOBAL
050B: MV_ENABLE_COOLING_BLOCK_BY_EXT_GLOBAL
050C: MV_ENABLE_HEATING_BLOCK_BY_EXT_GLOBAL
050D: MV_ENABLE_HIGH_PROTECTION_HS_BY_EXT_GLOBAL
050E: MV_EX1_Q2_GLOBAL
050F: MV_Ex_T1_ALARM_BITMASK
0510: MV_Ex_T1_ALARM_GLOBAL
0511: MV_FREEZEGUARD_ACTIVE_BITMASK
0512: MV_FREEZEGUARD_ACTIVE_GLOBAL
0513: MV_HIGHTEMP_HS_ACTIVE_BITMASK
0514: MV_HIGHTEMP_HS_ACTIVE_GLOBAL
0515: MV_HOLIDAY_ACTIVE_BITMASK
0516: MV_HOLIDAY_ACTIVE_GLOBAL
0517: MV_INVERT_EXT_INPUT_GLOBAL
0518: MV_PID_ACTUAL_1
051A: MV_PID_ACTUAL_2
051C: MV_PID_ACTUAL_3
051E: MV_PID_ACTUAL_4
0520: MV_PID_ACTUAL_5
0522: MV_PID_ACTUAL_6
0524: MV_PID_ACTUAL_7
0526: MV_PID_ACTUAL_GLOBAL
0528: MV_PID_ACTUAL_PRI_COOLING
052A: MV_PID_ACTUAL_SEC_COOLING
052C: MV_PID_SETPOINT_1
052E: MV_PID_SETPOINT_2
0530: MV_PID_SETPOINT_3
0532: MV_PID_SETPOINT_4
0534: MV_PID_SETPOINT_5
0536: MV_PID_SETPOINT_6
0538: MV_PID_SETPOINT_7
053A: MV_PID_SETPOINT_GLOBAL
053C: MV_PID_SETPOINT_PRI_COOLING
053E: MV_PID_SETPOINT_SEC_COOLING
0540: MV_ROOMSENSOR_KNOB_ALARM_BITMASK
0542: MV_ROOMSENSOR_KNOB_ALARM_GLOBAL
0543: MV_T1_SETPOINT_1
0545: MV_T1_SETPOINT_2
0547: MV_T1_SETPOINT_3
0549: MV_T1_SETPOINT_4
054B: MV_T1_SETPOINT_5
054D: MV_T1_SETPOINT_6
054F: MV_T1_SETPOINT_7
0551: MV_T1_SETPOINT_GLOBAL
0553: MV_T1_SETPOINT_PRI_COOLING
0555: MV_T1_SETPOINT_SEC_COOLING
0557: MV_T5_ACKNOWLEDGED_BITMASK
0559: MV_T5_ACTUAL_1
055B: MV_T5_ACTUAL_2
055D: MV_T5_ACTUAL_3
055F: MV_T5_ACTUAL_4
0561: MV_T5_ACTUAL_5
0563: MV_T5_ACTUAL_6
0565: MV_T5_ACTUAL_7
0567: MV_T5_ACTUAL_GLOBAL
0569: MV_T5_ACTUAL_PRI_COOLING
056B: MV_T5_ACTUAL_SEC_COOLING
056D: MV_T5_CONNECTED_BITMASK
056F: MV_T5_SETPOINT_1
0571: MV_T5_SETPOINT_2
0573: MV_T5_SETPOINT_3
0575: MV_T5_SETPOINT_4
0577: MV_T5_SETPOINT_5
0579: MV_T5_SETPOINT_6
057B: MV_T5_SETPOINT_7
057D: MV_T5_SETPOINT_GLOBAL
057F: MV_T5_SETPOINT_PRI_COOLING
0581: MV_T5_SETPOINT_SEC_COOLING
0583: MV_TIMER_HEATING_COOLING_DELAY_1
0585: MV_TIMER_HEATING_COOLING_DELAY_2
0587: MV_TIMER_HEATING_COOLING_DELAY_3
0589: MV_TIMER_HEATING_COOLING_DELAY_4
058B: MV_TIMER_HEATING_COOLING_DELAY_5
058D: MV_TIMER_HEATING_COOLING_DELAY_6
058F: MV_TIMER_HEATING_COOLING_DELAY_7
0591: MV_TIMER_HEATING_COOLING_DELAY_GLOBAL
0593: MV_TIMER_HEATING_COOLING_DELAY_PRI_COOLING
0595: MV_TIMER_HEATING_COOLING_DELAY_SEC_COOLING
0597: OUTDOOR_DAMPING_FACTOR
0599: PARTY_MODE_CIRCUIT_1
059A: PARTY_MODE_CIRCUIT_2
059B: PARTY_MODE_CIRCUIT_3
059C: PARTY_MODE_CIRCUIT_4
059D: PARTY_MODE_CIRCUIT_5
059E: PARTY_MODE_CIRCUIT_6
059F: PARTY_MODE_CIRCUIT_7
05A0: PARTY_MODE_CIRCUIT_8
05A1: PARTY_MODE_CIRCUIT_GLOBAL
05A2: PARTY_MODE_TIME
05A3: PGU_ACTIVATED
05A4: PGU_CONNECTED
05A5: PGU_CORRECTION_L1_A
05A6: PGU_CORRECTION_L2_A
05A7: PGU_CORRECTION_L3_A
05A8: PGU_CURRENT_MARGIN
05A9: PGU_L1_A
05AB: PGU_L2_A
05AD: PGU_L3_A
05AF: PGU_MAIN_FUSE
05B0: PGU_RECONNECTION_TIME
05B2: PGU_SUPPLY_VOLTAGE
05B4: PGU_TRIGGERED
05B5: PGU_TRIGGERED_PHASE1
05B6: PGU_TRIGGERED_PHASE2
05B7: PGU_TRIGGERED_PHASE3
05B8: PGU_TRIGGERED_TIME
05BA: PGU_VERSION
05BC: PHASE_DETECTOR_ACKNOWLEDGED
05BD: PHASE_DETECTOR_ACKNOWLEDGED_2
05BE: POOL_ACTIVE
05BF: POOL_BLOCKED_BY_EXT
05C0: POOL_DIFF_CONST
05C1: POOL_DIFF_CONST_2
05C2: POOL_DIFF_MAX
05C3: POOL_DIFF_MAX_2
05C4: POOL_DIFF_MIN
05C5: POOL_DIFF_MIN_2
05C6: POOL_EXTERN_BLOCKED
05C7: POOL_EXT_INPUT_INV
05C8: POOL_PID_D
05CA: POOL_PID_I
05CC: POOL_PID_MAX
05CE: POOL_PID_MIN
05D0: POOL_PID_P
05D2: POOL_REQUEST
05D3: POOL_REQUEST_2
05D4: POOL_SETPOINT_TEMP
05D6: POOL_START_DELAY_TIME
05D7: POOL_USE_COMPRESSOR_1
05D8: POOL_USE_COMPRESSOR_2
05D9: POOL_VALVE_DELAY_AFTER_DEFROST
05DA: POOL_VALVE_POSITION
05DC: POOL_VALVE_RUNNING_TIME
05DE: POPUP_WINDOW_DELAY
05DF: PROGRAM_GENERATION
05E0: PROGRAM_REVISION
05E1: PROGRAM_VERSION
05E3: PUMP_DHW_ACTIVE
05E4: PUMP_DHW_PROGRAM1_START_TIME
05E5: PUMP_DHW_PROGRAM1_STOP_TIME
05E6: PUMP_DHW_PROGRAM2_START_TIME
05E7: PUMP_DHW_PROGRAM2_STOP_TIME
05E8: PUMP_DHW_PROGRAM3_START_TIME
05E9: PUMP_DHW_PROGRAM3_STOP_TIME
05EA: PUMP_DHW_PROGRAM4_START_TIME
05EB: PUMP_DHW_PROGRAM4_STOP_TIME
05EC: PUMP_E71_G71_BLOCKED_BY_EXT
05ED: PUMP_E71_G71_START_DIFF
05EE: PUMP_E71_G71_START_MODE
05EF: PUMP_E71_G71_START_TEMP
05F0: PUMP_E72_G71_BLOCKED_BY_EXT
05F1: PUMP_E72_G71_START_DIFF
05F2: PUMP_E72_G71_START_MODE
05F3: PUMP_E72_G71_START_TEMP
05F4: PUMP_G1_CONTINUAL
05F5: PUMP_G2_CONTINUAL
05F6: PUMP_G2_LOW_TEMPERATURE
05F7: PUMP_G2_MAX_TEMPERATURE
05F8: PUMP_G3_ACTIVE_IN_COOLING
05F9: PUMP_G3_CONTINUAL
05FA: PUMP_G3_EXTERN_ACTIVATED_BY_E21_EXT_1
05FB: PUMP_G3_EXTERN_ACTIVATED_BY_E21_EXT_2
05FC: PUMP_G3_EXTERN_ACTIVATED_BY_E22_EXT_1
05FD: PUMP_G3_EXTERN_ACTIVATED_BY_E22_EXT_2
05FE: PUMP_G3_EXTERN_ACTIVE
05FF: PUMP_G3_LOW_PRESSURE_HEAT_CARRIER_ACTIVATED_BY_E21_EXT_1
0600: PUMP_G3_LOW_PRESSURE_HEAT_CARRIER_ACTIVATED_BY_E21_EXT_2
0601: PUMP_G3_LOW_PRESSURE_HEAT_CARRIER_ACTIVATED_BY_E22_EXT_1
0602: PUMP_G3_LOW_PRESSURE_HEAT_CARRIER_ACTIVATED_BY_E22_EXT_2
0603: PUMP_G3_LOW_PRESSURE_HEAT_CARRIER_ACTIVE
0604: PUMP_G3_MAX_HASTIGHET
0605: PUMP_G3_MAX_SPEED_AT_COMPRESSOR_FREQUENCY
0606: PUMP_G3_MIN_HASTIGHET
0607: PUMP_G3_MIN_SPEED_AT_COMPRESSOR_FREQUENCY
0608: REMOTE_GET_DISPLAY
0609: RESET_LARMHISTORY
060A: RESET_LARMINFO
060B: RESET_LARMLOG
060C: RESET_SYSVAR
060D: RESTART_ADDITIONAL_TIMER_BLOCKED
060E: RIGGKORNING
060F: ROOM_BLOCK
0610: ROOM_BUZZER_BLOCKED
0611: ROOM_DIAL_RANGE
0612: ROOM_DIAL_RANGE_GLOBAL
0613: ROOM_EXTERN_SETPOINT_TEMP_BY_E21_EXT_1
0615: ROOM_EXTERN_SETPOINT_TEMP_BY_E21_EXT_2
0617: ROOM_EXTERN_SETPOINT_TEMP_BY_E22_EXT_1
0619: ROOM_EXTERN_SETPOINT_TEMP_BY_E22_EXT_2
061B: ROOM_EXTERN_SETPOINT_TEMP_GLOBAL
061D: ROOM_EXTERN_TEMPERATURE_ACTIVE_1
061E: ROOM_EXTERN_TEMPERATURE_ACTIVE_2
061F: ROOM_EXTERN_TEMPERATURE_ACTIVE_3
0620: ROOM_EXTERN_TEMPERATURE_ACTIVE_4
0621: ROOM_HOLIDAY_SETPOINT_BASE_TEMP
0623: ROOM_HOLIDAY_SETPOINT_BASE_TEMP_GLOBAL
0625: ROOM_INFLUENCE
0627: ROOM_INFLUENCE_CONST
0628: ROOM_INFLUENCE_CONST_GLOBAL
0629: ROOM_LED_BLOCKED
062A: ROOM_PROGRAM_1_FRI
062C: ROOM_PROGRAM_1_MON
062E: ROOM_PROGRAM_1_SAT
0630: ROOM_PROGRAM_1_SUN
0632: ROOM_PROGRAM_1_THU
0634: ROOM_PROGRAM_1_TUE
0636: ROOM_PROGRAM_1_WED
0638: ROOM_PROGRAM_2_FRI
063A: ROOM_PROGRAM_2_MON
063C: ROOM_PROGRAM_2_SAT
063E: ROOM_PROGRAM_2_SUN
0640: ROOM_PROGRAM_2_THU
0642: ROOM_PROGRAM_2_TUE
0644: ROOM_PROGRAM_2_WED
0646: ROOM_PROGRAM_FRI_GLOBAL
0648: ROOM_PROGRAM_MODE
0649: ROOM_PROGRAM_MODE_GLOBAL
064A: ROOM_PROGRAM_MON_GLOBAL
064C: ROOM_PROGRAM_SAT_GLOBAL
064E: ROOM_PROGRAM_SUN_GLOBAL
0650: ROOM_PROGRAM_THU_GLOBAL
0652: ROOM_PROGRAM_TUE_GLOBAL
0654: ROOM_PROGRAM_WED_GLOBAL
0656: ROOM_SETPOINT_BASE_TEMP
0658: ROOM_SETPOINT_BASE_TEMP_GLOBAL
065A: ROOM_SETPOINT_OFFSET
065C: ROOM_SETPOINT_OFFSET_GLOBAL
065E: ROOM_SETPOINT_TEMP
0660: ROOM_TIMECONTROLLED
0661: ROOM_TIMEPROGRAM
0662: ROOM_TIMEPROGRAMMED_SETPOINT_BASE_TEMP
0664: ROOM_TIMEPROGRAMMED_SETPOINT_BASE_TEMP_GLOBAL
0666: ROOM_TIMEPROGRAM_GLOBAL
0667: RTU800B_CONNECTED
0668: RTU800B_CONNECTED_2
0669: RTU800B_CONNECTED_3
066A: RTU800B_CONNECTED_4
066B: RTU800B_CONNECTED_5
066C: RTU800B_CONNECTED_6
066D: RTU800B_CONNECTED_7
066E: RTU800B_CONNECTED_8
066F: RTU800B_CONNECTED_BITMASK
0670: RTU800B_CONNECTED_GLOBAL
0671: RTU800B_VERSION
0673: RTU800B_VERSION_2
0675: RTU800B_VERSION_3
0677: RTU800B_VERSION_4
0679: RTU800B_VERSION_5
067B: RTU800B_VERSION_6
067D: RTU800B_VERSION_7
067F: RTU800B_VERSION_8
0681: SCREED_DRYING_ACTIVATED
0682: SCREED_DRYING_COOLING_STEP_COUNT
0684: SCREED_DRYING_CURRENT_HOUR
0685: SCREED_DRYING_CURRENT_PROGRAM_STEP
0687: SCREED_DRYING_DAYS_AT_MAX_TEMPERATURE
0688: SCREED_DRYING_DAYS_PER_COOLING_STEP
0689: SCREED_DRYING_DAYS_PER_HEATING_STEP
068A: SCREED_DRYING_HEATING_STEP_COUNT
068C: SCREED_DRYING_HEAT_SOURCE
068D: SCREED_DRYING_INCOMPLETE
068E: SCREED_DRYING_MAX_TEMPERATURE
0690: SCREED_DRYING_PROGRAM_STEP_COUNT
0692: SCREED_DRYING_REQUEST
0693: SCREED_DRYING_SETPOINT_TEMP
0695: SCREED_DRYING_TEMPERATURE_STEP_COOLING
0696: SCREED_DRYING_TEMPERATURE_STEP_HEATING
0697: SCREENSAVER_ACTIVE
0698: SCREENSAVER_DELAY_TIME
0699: SENSORS_E74_T1_CORRECTION
069A: SENSORS_E74_T1_DISPLAY_TEMP
069C: SENSORS_E74_T1_STATUS
069D: SENSORS_E74_T1_TEMP
069F: SENSORS_E74_T3_CORRECTION
06A0: SENSORS_E74_T3_DISPLAY_TEMP
06A2: SENSORS_E74_T3_STATUS
06A3: SENSORS_E74_T3_TEMP
06A5: SENSORS_E74_T7_CORRECTION
06A6: SENSORS_E74_T7_DISPLAY_TEMP
06A8: SENSORS_E74_T7_STATUS
06A9: SENSORS_E74_T7_TEMP
06AB: SETUP_COMPLETED
06AC: SOLAR_ACTIVATED
06AD: SOLAR_ACTIVE
06AE: SOLAR_DHW_BLOCK
06AF: SOLAR_DIFF_START_TEMP
06B0: SOLAR_DIFF_STOP_TEMP
06B1: SOLAR_FREEZEGUARD_ACTIVE
06B2: SOLAR_FREEZEGUARD_START_TEMP
06B3: SOLAR_FREEZEGUARD_STOP_TEMP
